blunt	钝
denture	假牙
parole	假释
sugar cane	甘蔗
menarche	初潮
adipose tissue	脂肪组织
Solomon Islands	所罗门群岛
Israeli	以色列人
alleviation	缓和
colloidal	胶状的
redshank	红脚鹬
schwa	中性元音的名称
sterilize	消毒
toner	调色剂
hunter-gatherer	狩猎收集者
Silesia	西里西亚
methane	甲烷
able-bodied seaman	二等水手
ice storm	冰暴
Costa Rican	哥斯达黎加的
borer	钻孔器
explanation	解释
hot spring	温泉
ferocious	恶狠狠
primer	底漆
unjustifiable	不合道理的
Fijian	斐济文
monoclinous	雌雄同花的
carcinogen	致癌物质
coconut	椰子
polysyllabic	多音节的
North Dakota	北达科他州
initial public offering	首次公开募股
atheism	无神论
pay as you earn	预扣所得税
stainless steel	不锈钢
Antarctic Circle	南极圈
winter melon	冬瓜
bodybuilding	健美运动
adjudicate	判决
insole	鞋垫
friendly	睦
covenant	契约
prostitute	妓女
lip	嘴唇
synthesizer	合成器
Melissa	梅利莎
braille	盲文
ogive	交错骨
prebend	牧师的俸禄
sandbox	沙盒
narcoleptic	病的
ice hockey	冰球
classroom	教室
cytoplasm	细胞质
origami	折纸
quasiparticle	准粒子
South American	南美的
African hunting dog	肯尼亚
Tunisia	突尼斯
shade	遮光物
leaf	叶
advance	进
defile	陉
portable	轻便的
whole number	整数
orderly	整
synchronize	同步
elucidate	释
loo	厕所
Cape buffalo	南非水牛
militarism	军国主义
Iraqi	伊拉克人
gynophore	雌蕊柄
picnic	野餐
yeasty	酵母的
wetland	湿地
Wroclaw	弗罗茨瓦夫
West Indies	西印度群岛
Bhutan	不丹
skeleton	骨骼
allow	允许
alpha and omega	始终
ravage	破坏
undertone	低音
mole	鼹鼠
Permian	二叠纪
biometrics	生物测定学
bowhead	北极露脊鲸
fritillary	豹纹蝶
hepatic	肝脏的
kieserite	水镁矾
chef	厨师
recrimination	揭丑
anarchism	无政府主义
tulle	薄纱
burgrave	贵族
avascular	无血管的
Nantes	南特
criminate	定罪
brink	边缘
body temperature	体温
acquit	宣告无罪
gaffe	过失
submerge	淹
chorea	舞蹈病
gook	日本人
apology	歉
cardholder	持卡人
hoopoe	戴胜
theologize	使成为神学
thimbleful	极少量
chemical reaction	化学反应
matchstick	火柴
antilogarithm	逆对数
Gordian knot	戈耳狄俄斯之结
quarter day	四季结账日
colossal	庞大的
first cousin	姑表姐
people	人
gloom	幽暗
teachable	可教的
anorexia	厌食
Levite	利未人
agalactia	无乳
appellant	上诉的
southern	南的
birdsong	鸟鸣
heartlessly	无情地
caricature	漫画
part-time	兼任地
rendezvous	会合
bus driver	公交车司机
wild boar	野猪
control room	控制室
Swiss franc	瑞士法郎
dissuade	劝阻
Gold Coast	黄金海岸
Southeast Asia	东南亚
cafe	咖啡馆
ejaculation	射精
peaceable	和平的
crazed	疯狂的
dramatize	编写剧本
piton	岩钉
snivel	洟
sadist	虐待狂者
Rhea	土卫五
indefinite article	不定冠词
liver sausage	肝肠
greeting card	贺卡
quadrangle	四角形
afterlife	来世
hexagon	六边形
neckline	领口
sleep apnea	睡眠呼吸暂停
death penalty	死刑
river	河
hymn	圣歌
hour hand	时针
giant star	巨星
sample	样品
self-confidence	自信
incompatible	不兼容
Aldebaran	毕宿五
high-level	高级的
gauche	粗鲁的
goddaughter	教女
neuropsychiatry	神经精神医学
newlywed	新婚夫妇
polysemy	一词多义
drilling	演练
earthstar	地星
golden oriole	金色黄鹂
nolle prosequi	撤回诉讼
silverback	银背大猩
Romania	罗马尼亚
glossy	光滑
dominion	主权
battleship	战舰
accomplish	成
melanoma	黑色素瘤
microdot	微粒的
closed	关闭的
WAN	WAN
anurous	两栖纲
shepherdess	牧羊女
sixtieth	第六十
stereophony	身历声
brazilwood	苏木
appellate court	上诉法院
data structure	数据结构
trypsin	胰蛋白酶
machine gun	机关枪
Bruneian	文莱的
gin and tonic	金汤力
erythema	癜
redfish	鲈鮋
trundle	推
integrate	结合
swift	迅
Stanford	斯坦福
arrant	极恶的
backsaw	短锯
bedridden	卧床不起的
redwing	红翼鸫
warble	鸟鸣
Anaxagoras	阿那克萨哥拉
Democritus	德谟克利特
isometry	等轴
Swansea	斯旺西
circlet	小圈
learning disability	学习障碍
avidly	贪心地
Hungary	匈牙利
stretch	伸展
extent	程度
triangle	三角形
frankness	率直
shop	商店
estate	财产
estate tax	遗产税
machinist	机械师
catechetical	问答式的
copilot	副驾驶员
geologic	地质的
gyroscope	回转仪
ladder	梯子
porous	多孔的
on-site	所在地的
Canadian dollar	加拿大元
pragmatics	语用学
northeast by east	东北偏东
unabashedly	不害羞地
Arabian Peninsula	阿拉伯半岛
rampart	垒
potency	效力
tranquil	恬
humor	幽默
macromolecule	高分子
flicker	闪烁
goshawk	苍鹰
Lassa fever	拉沙热
olfactory	嗅觉的
dermis	真皮
furniture	家具
tenable	可守的
flasher	方向指示灯
funk	恐惧
unheard	听不到的
traceable	起源于
Toyota	丰田
sandstorm	沙尘暴
Canis Major	大犬座
blush	脸红
aver	断言
genus	属
reelect	改选
profit	利润
sift	筛
bauxite	铝土矿
endangered	将要绝种的
white-tailed deer	白尾鹿
efficacy	功效
Ishmael	以赛玛利
meretricious	俗气的
acoustician	声学家
convex	凸
chessboard	枰
hieroglyphic	象形文字
sapiential	智慧的
force majeure	不可抗力
appendectomy	阑尾切除术
cartilage	软骨
go out	出
phosphorus	磷
texture	质地
snuff	鼻烟
stonewall	慎重的打球
toxicity	毒性
immaculate	无瑕的
uncertainly	易变的
doorman	看门人
electromagnetic	电磁
cross-dresser	易装癖
blot out	㙙
prophesy	卜
toffee	奶糖
postilion	左马驭者
Chardonnay	莎当妮
cor anglais	英国低音号
line of sight	视线
agony aunt	答疑者
nomination	提名
conceive	怀
nictitating membrane	瞬膜
prance	舞
awful	可怕的
lawman	警官
shepherd	牧
saboteur	阴谋破坏
ovoid	卵形的
mercury	汞
vicuna	小羊驼
cornet	短号
geography	地理学
supergiant	超巨星
swale	低洼地
Zhou	周朝
black rhinoceros	黑犀
swimming trunks	泳裤
exponentiation	求幂
gallop	驰
benzylpenicillin	苄青霉素
eye socket	眶
squeak	吱吱声
ophidian	蛇类的
backhander	逆打
cow	母牛
translucent	半透明
dialectically	辩证法地
limerick	五行打油诗
normality	常态
topological	拓扑的
woodpile	木料堆
self-rule	自治
piano accordion	手风琴
first mate	大副
urethra	尿道
herpes	疱疹
second-degree burn	二度烧伤
oyster bed	牡蛎养殖场
Principality of Liechtenstein	列支敦士登
arsehole	肛门
popular	受欢迎
deceit	㤮
usual	通常
motherland	祖国
sorrow	悲伤
gunboat	炮舰
apparent	表观
cyclical	轮转的
jaggery	粗糖
broadly	简单
avocado	鳄梨
recount	详述
gastrointestinal	肠胃的
underling	下属
procurement	采购
house mouse	小家鼠
lyrebird	琴鸟
technology	技术
stigmatize	打烙印
sore	疮
impedance	阻抗
undefined	不明确的
flamingo	红鹤
Dalmatian	达尔马提亚语
complex	复杂
globeflower	金梅草属植物
photographically	用照相
smuggle	走私
chickenpox	水痘
herbal tea	草本茶
brown bread	黑面包
bloke	小子
phrenology	骨相学
water bottle	水壶
yellow fever	黄热病
