covenant	ஒப்பந்தம்
lip	உதடு
Fijian	ஃபிஜியன்
explanation	விளக்கவுரை
atheism	இறைமறுப்பு
blunt	மழுங்கச்செய்
coconut	தேங்காய்
denture	பொய்ப்பல்
adjudicate	விசாரி
monoclinous	ஒருசாய்வுள்ள
alleviation	சுளுவு
sugar cane	கரும்பு
North Dakota	வட டகோட்டா
ferocious	கொடூரமாக இரு
adipose tissue	இரத்தச்சவ்வு
primer	முதல்நூல்
Solomon Islands	சாலமன் தீவுகள்
methane	மெத்தேன்
Antarctic Circle	அண்டார்டிக் வட்டம்
Bhutan	பூட்டான்
allow	அனுமதி
whole number	முழு எண்
mole	மச்சம்
shade	நிழல்
leaf	இலை
synchronize	ஒத்திசைவி
advance	முன்னேறு
defile	கலை
elucidate	தெளிவாக்கு
classroom	வகுப்பறை
ravage	கொள்ளையடி
picnic	உல்லாசப் பயணம்
friendly	குலாவு
prostitute	வேசி
orderly	ஒழுங்கான
skeleton	எலும்புக்கூடு
African hunting dog	கென்யா
Tunisia	துனீசியா
anarchism	அரசின்மை
Gold Coast	ஆஸ்திரேலியா
brink	விளிம்பு
submerge	குவி
acquit	விடுவி
anorexia	பிசியின்மை
apology	மன்னிப்பு
dissuade	கலை
bus driver	பேருந்து ஓட்டுனர்
chemical reaction	வேதி வினை
gloom	இருள்
people	மக்கள்
hexagon	அறுகோணம்
wild boar	காட்டுப்பன்றி
rendezvous	சந்திக்கும் இடம்
part-time	பகுதி நேரம்
sadist	துன்புறுத்தி பாலின்பம் பெறுபவர்
snivel	சிணுங்கு
Levite	லேவி கோத்திரம்
caricature	கேலிச்சித்திரம் வரை
southern	தெற்கத்தி
hoopoe	பாட்டாணி
ejaculation	விந்து தள்ளல்
Swiss franc	சுவிஸ் ஃப்ராங்க்
river	ஆறு
Romania	ருமேனியா
closed	மூடு
accomplish	நிறைவேற்று
incompatible	ஒவ்வாத
sample	மாதிரி
dominion	ஆட்சி
battleship	போர்க் கப்பல்
self-confidence	தன்னம்பிக்கை
quadrangle	சதுரங்கம்
greeting card	வாழ்த்து அட்டை
hymn	சங்கீதம்
neckline	தைப்பதற்கு வெட்டப்பட்ட துணி
shepherdess	பார்வதி
Southeast Asia	தென்கிழக்காசியா
dramatize	நாடகமாக்கு
glossy	பளபள
goddaughter	ஞானப்பெண்
drilling	துளைக்கை
death penalty	மரணதண்டனை
machine gun	இயந்திரத் துப்பாக்கி
estate	சொத்து
integrate	திரள்
stretch	இழு
extent	பரவெல்லை
estate tax	வரி
trundle	உருட்டு
warble	போற்று
bedridden	படுத்த படுக்கையாயுள்ள
shop	கடை
furniture	தளபாடம்
copilot	துணை விமானி
flicker	துடி
frankness	தாராளம்
rampart	மதில்
humor	சந்தோஷப்படுத்து
ladder	ஏணி
learning disability	கற்க போதிய புத்திசாலித்தனமின்மை
machinist	இயந்திர நுணுக்கங்களில் தேர்ந்தவர்
vindictiveness	பழி
sandstorm	மணற் புயல்
triangle	முக்கோணம்
Hungary	ஹங்கேரி
swift	இடவிய
pragmatics	சூழ்பொருளியல்
macromolecule	பருமூலக்கூறு
Canadian dollar	கனடியன் டாலர்
Canis Major	கானிஸ் மேஜர்
phosphorus	தீமுறி
genus	குலம்
profit	இலாபம்
texture	இழைமம்
aver	வலியுறுத்து
sift	வடிகட்டு
prophesy	எதிர்பார்
blot out	அழி
chessboard	சதுரங்கப் பலகை
cartilage	உறுதியான இணக்கமுள்ள சவ்வு
go out	போ
snuff	மூக்குப்பொடி போடு
tranquil	சாந்தமிக்க
blush	முகஞ்சிவ
efficacy	சித்தி
appendectomy	குடல்வால் அறுவை
toffee	மூலம் வரும் இனிப்பு வகை
Arabian Peninsula	அராபியத் தீபகற்பம்
mercury	பாதரசம்
avocado	வெண்ணைப் பழம்
cow	பசு
shepherd	இடையன்
sorrow	துயரம்
apparent	பிரத்தியட்சமான
conceive	கருத்தரி
backhander	லஞ்சப் பணம்
usual	வழக்கமான
geography	புவியியல்
cornet	கொம்பு
prance	குதி
nomination	வேட்பு மனு
saboteur	நாசகாரச் செயல் செய்பவன்
squeak	சத்தம் போடு
translucent	அரைகுறை ஒளியூடுருவிச் செல்கிற
awful	மோசமாக இரு
gallop	தலை தெரிக்க ஓடு
herpes	அக்கி
urethra	நீர்த்தாரை
black rhinoceros	கறுப்பு காண்டாமிருகம்
motherland	தாய்நாடு
sore	புண்
soldier	போர்வீரன்
technology	Thozhil Nutpam
deceit	பொய்
a	மு.ப
jaggery	வெல்லம்
recount	தெரிவி
smuggle	கடத்து
hate	வெறு
eating	உண்ணுதல்
intent	கவனமாக இரு
below	கீழே
chickenpox	சின்னமுத்து
complex	வளாகம்
eel	விலாங்குமீன்
flamingo	செந்நாரை
intoxicated	மயக்கமடை
popular	பிரபலமான
gunboat	துப்பாக்கிப் படகு
wholesome	நலமான
impedance	மின்மறுப்பு
yellow fever	மஞ்சட் காய்ச்சல்
Principality of Liechtenstein	லீக்டன்ஸ்டைன்
stigmatize	தூற்று
genuineness	இயல்பு
deafness	செவிட்டுத்தன்மை
let go	கைவிடு
bring forth	உண்டாக்கு
specialty	சிறப்பு
adventure	பணயம் வை
antibody	பிறபொருளெதிரி
tube	குழாய்
opulence	செல்வம்
cigarette	சிகரட்
constancy	காலப்பகுதி
compete	போட்டியிடு
overturn	கவிழ்
painless	வேதனையற்ற
radio station	ஒலி பரப்பி
suede	பதனிடப்படாத தோல்
mellow	வாடு
schoolmaster	உபாத்தியாயன்
capital punishment	மரணதண்டனை
acquisition	சம்பாதித்தல்
manage	சமாளி
back up	முட்டுக்கொடு
seize	பறி
export	ஏற்றுமதி செய்
penance	படிவம்
toss	போடு
administrative	நிர்வாக சம்பந்தமான
approximately	சுமார்
inquire	வினவு
intolerance	சகிப்புதன்மையின்மை
convoy	துணைவன்
contact lens	விழி வில்லை
culture	கலாச்சாரம்
sovereign	பேரரசர்
emigration	பிறநாட்டில் சென்று குடியேறுதல்
paradise	சொர்க்கம்
satyr	சோகத்தில் முடியும் கிரேக்க நாடகம்
windmill	காற்று பலத்தினால் இயங்கும் இயந்திரம்
opt out	ஒதுக்கு
feel like	லாம் என்று இரு
putrefy	கெட்டுப்போ
first person	உத்தமபுருடன்
gout	உலவை
mocker	நளினக்காரன்
Exodus	யாத்திராகமம்
hectare	எக்டேர்
lungfish	நுரையீரல்மீன்
cancel	நீக்கு
token	அடையாளமாக
conjoin	கூட்டு
foe	எதிரி
consult	ஆலோசி
assure	நிச்சயப்படுத்து
being	சமுகமளித்தல்
bike	மிதிவண்டி
duplicate	நகல்
drug	மருந்து
kerb	நடைபாதை
Moon	மூன்
moth	ஆந்துப்பூச்சி
pet	தடவிக்கொடு
sequester	ஒதுக்கிவை
gravedigger	குழிவெட்டி
keeper	தடைமோதிரம்
Bollywood	பாலிவுட்
hovercraft	காற்றுமெத்தை உந்து
ethanol	எத்தனால்
Ukrainian	யூக்ரேனியன்
bamboo	மூங்கில்
coordinate	ஒழுங்குபடுத்து
base	அடிப்படையாக்கு
Estonian	எஸ்டோனியன்
still	இன்னும்
formal	சரியாக
clerk	எழுத்தர்
intelligent	புத்திசாலி
canopy	மேற்கட்டி
conquer	தோற்கடி
dimmer	ஒளி தாழ்த்தி
impetuosity	கொடுமை
influenza	காய்ச்சல்
fried	கருத்துப் போ
main	முக்கிய
phonetics	ஒலியியல்
pure mathematics	தூய கணிதம்
screwdriver	திருப்புளி
doodle	கிறுக்கி எழுது
wife	மனைவி
molybdenum	போன்றீயம்
enclosure	தோட்டம்
latent	பொதி
evict	வெளியேற்று
acknowledgement	ஏற்றுக் கொள்ளல்
judge	மதிப்பிடு
womb	கருப்பை
meridian	உச்சி
astute	தந்திரமான
negligence	குற்றம்
forefront	முன்னிடத்தில் இரு
ear	காது
rotate	சுழல்
corruption	ஊழல்
fervor	நெருப்பு
splendid	அபாரம்
hangar	விமானங்கள் நிறுத்துமிடம்
inferior	குறைந்தவன் இல்லை
torso	உடலின் முண்டப் பகுதி
kneecap	சில்லு
liquorice	அரவம்
sheer	நிர்வாண
frown	முகத்தைச் சுளி
behead	தலைவாங்கு
pedicel	காம்பு
biceps	கெண்டை
nation	நாடு
watch	கவனி
be	இரு
bank	வங்கி
opportunity	சமயம்
attest	உறுதிசெய்
circumscription	கட்டுப்பாடு
ennoble	மேம்படுத்து
criticism	குற்றச்சாட்டு
association	கூட்டமைப்பு
alleyway	வழிப்பாதை
aptitude	திறமை
aroma	நறுமணும்
nothingness	சூனியம்
cargo	சரக்கு
curiosity	உந்துதலால்
poor	எழைகள்
insurgent	கிளர்ச்சிக்காரர்கள்
neutron	நியூத்திரன்
skilled	திறமை கொண்ட
pole star	துருவம்
thermodynamic	வெப்பவியக்கவியல்
waffle	மழுப்பு
widget	நிரல் பலகை
mendicant	அரதேசிபரதேசி
horse racing	குதிரைப்பந்தயம்
Russian	ருஸ்சியன்
meat	இறைச்சி
tricolour	இத்தாலி
baud	பாட்
partition	பிரிவு
underline	வலியுறுத்து
impugn	விமர்சி
defame	நிந்தி
biochemistry	உயிர்வேதியியல்
slide	ஊர்
keep on	தொடர்
dungeon	கிடங்கு
lettuce	கீரை
sightseeing	சென்று பார்க்கக்கூடிய அழகான இடங்கள்
persuasion	தேற்றம்
tickle	கிச்சுகிச்சு மூட்டு
wonted	பழக்கப்பட்ட
worsen	மோசமாக்கு
grotesque	விசித்திரமாக இரு
magma	மக்மா
cheek	கன்னம்
embody	உருவாக்கு
injustice	அநீதி
director	நிறுவனத் தலைவர்
alive	பிழைத்திரு
area	பரப்பளவு
breathe	மூச்சு விடு
