adjudicate	mengadili
Fijian	Fiji
sugar cane	tebu
Israeli	Israel
blunt	tumpul
coconut	kelapa
ferocious	marah
explanation	penjelasan
adipose tissue	minyak
covenant	perjanjian
atheism	ateisme
lip	bibir
parole	kata sandi
Solomon Islands	Kepulauan Solomon
sterilize	membenarkan
bodybuilding	binaraga
borer	incar
alleviation	pengurangan
schwa	pepet
unjustifiable	tak beralasan
polysyllabic	bersuku kata banyak
origami	origami
denture	plat gigi palsu
ogive	hulu ledak
braille	braille
primer	primer
North Dakota	Dakota Utara
Silesia	Schlesien
ice storm	badai es
carcinogen	karsinogen
methane	metana
synthesizer	penyintesis
hunter-gatherer	pemburu-peramu
Antarctic Circle	Lingkaran Antarktik
anarchism	anarkisme
friendly	ramah
advance	bekas
shade	bayangan
mole	tikus tanah
allow	biarkan
leaf	daun
elucidate	jelas
picnic	piknik
classroom	kelas
African hunting dog	Kenya
undertone	konotasi
skeleton	kerangka
Tunisia	Tunisia
orderly	rapi
Bhutan	Bhutan
prostitute	pelacur
loo	kakus
chef	koki
synchronize	menyamakan
wetland	rawa
ravage	menghancurkan
defile	mengotori
West Indies	buruh
ice hockey	hoki es
portable	dapat diangkut
prebend	uang gereja untuk pendeta
sandbox	bak pasir
tulle	kain tule
biometrics	biometri
militarism	militerisme
recrimination	tuduh menuduh
Wroclaw	Wrocław
cytoplasm	sitoplasma
Song of Solomon	Kitab Kidung Agung
Permian	Perm
whole number	bilangan bulat
hepatic	lumut hati
Gold Coast	Australia
people	rakyat
birdsong	tembang
unnoticeable	kabur
rendezvous	kencan
gook	orang Philipina
apology	maaf
acquit	membebaskan
criminate	mencela
submerge	tenggelam
colossal	mahabesar
first cousin	sepupu
southern	selatan
caricature	film karton
snivel	cengeng
brink	pinggir
dissuade	meminta jangan berbuat
matchstick	korek api
gloom	kemuraman
gaffe	kebodohan
wild boar	babi hutan
chemical reaction	reaksi
sadist	sadis
appellant	perayu
indefinite article	kata sandang tidak tentu
ejaculation	ejakulasi
liver sausage	sosis mengandung cincangan hati
part-time	sambilan
Nantes	Nantes
Rhea	Rhea
Levite	Suku Lewi
Swiss franc	Franc Swiss
hexagon	heksagon
anorexia	anoreksia
hoopoe	hud-hud
river	sungai
peaceable	aman
dominion	aturan
glossy	kilat
sample	contoh
gauche	canggung
accomplish	mencapai
Southeast Asia	Asia Tenggara
self-confidence	percaya diri
closed	tutup
death penalty	hukuman mati
Romania	Rumania
data structure	struktur data
afterlife	akhirat
battleship	kapal perang
dramatize	memperbesar
hymn	himne
shepherdess	gembala
machine gun	senapan mesin
goddaughter	anak baptis wanita
cafe	kedai teh
stereophony	stereo
appellate court	mahkamah agung
quadrangle	empat persegi
incompatible	bertentangan
neckline	leher baju
polysemy	polisemi
Aldebaran	Aldebaran
sixtieth	keenampuluh
greeting card	kartu ucapan
gin and tonic	gin dan tonik
humor	humor
furniture	mebel
rampart	kubu
warble	mencicit
estate	kebun
ladder	tangga
swift	cepat
Democritus	Demokreitos
gyroscope	giroskop
Hungary	Hongaria
stretch	merentangkan
arrant	komplit
shop	toko
integrate	memasukkan
triangle	segitiga
frankness	terus terang
extent	luas
geologic	mengenai lapisan tanah
flicker	menyala
porous	penuh lubang-lubang
sandstorm	badai pasir
circlet	tiara
Canis Major	Canis Major
copilot	pembantu pilot
flasher	berlagak
pragmatics	pragmatik
Stanford	Universitas Stanford
Swansea	Swansea
Anaxagoras	Anaxagoras
Canadian dollar	Dolar Kanada
erythema	eritema
macromolecule	makromolekul
tranquil	tenang
go out	keluar
profit	untung
prophesy	berniat
genus	keluarga
efficacy	khasiat
potency	keampuhan
