explanation	yorum
ferocious	yırtıcı vahşi
blunt	yassi
borer	burgu
adjudicate	hakem
covenant	söz
primer	astar boyası
atheism	ateizm
insole	ayakkabının iç astarı
alleviation	azalma
ogive	bu kemerin kenarları
coconut	Hindistan cevizi
polysyllabic	çok heceli
denture	damak
lip	dudak
origami	origami
unjustifiable	gereksiz
Israeli	israilli
sterilize	kısırlaştırmak
colloidal	koloidal
methane	metan
sugar cane	şeker kamışı
parole	şeref sözü
Silesia	Silezya
Solomon Islands	Solomon Adaları
Fijian	Fiji Dili
North Dakota	Kuzey Dakota
stainless steel	paslanmaz çelik
carcinogen	karsinojen
redshank	kızılbacak
synthesizer	bireştirici
toner	koyultucu
South American	Güney Amerikalı
Costa Rican	Kosta Rikalı
Antarctic Circle	Güney Kutup Dairesi
mole	köstebek
defile	geçit boğaz
shade	gölge
elucidate	açıklamak
advance	atılım
chef	şef
skeleton	iskelet
undertone	fısıltı
allow	izin vermek
anarchism	anarşizm
friendly	dostça
prostitute	orospu
militarism	militarizm
loo	tuvalet
wetland	batak
fritillary	benekli kelebek
Bhutan	Butan
ravage	tahrip etmek
orderly	düzgün
classroom	sınıf
synchronize	senkronize etmek
burgrave	hisar muhafızı
leaf	yaprak
tulle	tül
Iraqi	ıraklı
hepatic	karaciğer
African hunting dog	Kenya
sandbox	korumalı alan
portable	seyyar
picnic	piknik
whole number	tamsayı
Tunisia	Tunus
ice hockey	buz hokeyi
West Indies	Antiller
biometrics	biyometri
Permian	Permiyen
cytoplasm	sitoplazma
prebend	papaz ödeneği
recrimination	birbirini suçlama
Wroclaw	Wrocław
brink	kenar ağız
Gold Coast	Afrika’da Altın Kıyısı
snivel	sümük
people	halk
acquit	aklamak
dissuade	caydırmak
hexagon	altıgen
criminate	itham etmek
colossal	devasa
gook	balçık
submerge	batırmak
gaffe	gaf
ejaculation	boşalma
rendezvous	randevu
gloom	karanlık
hoopoe	ibibik
southern	güney
caricature	karikatür
wild boar	yaban domuzu
anorexia	iştahsızlık
apology	özür
matchstick	kibrit
first cousin	kuzen
teachable	öğrenme kabiliyeti olan
sadist	sadist
birdsong	şarkı
chorea	yüzde
cardholder	kart sahibi
Rhea	Ñandú
John Dory	dulger
Nantes	Nantes
control room	kontrol odası
bus driver	veriyolu sürücüsü
indefinite article	belirsiz tanımlık
Swiss franc	İsviçre frangı
chemical reaction	kimyasal tepkime
liver sausage	ciğer salamı
appellant	üst mahkemeye başvuran kimse
accomplish	tamamlamak
death penalty	ölüm cezası
gauche	acemi
afterlife	öbür dünya
river	nehir
hour hand	akrep
dominion	dominyon
sixtieth	altmışıncı
incompatible	bağdaşmaz
polysemy	belirsizlik
cafe	kahvehane
glossy	parlak
shepherdess	çoban
quadrangle	dörtgen
Aldebaran	Aldebaran
data structure	geminin yan yatması
hymn	ilahi
Southeast Asia	Güneydoğu Asya
closed	kapalı
self-confidence	kendine güven
peaceable	kolay yatışır
machine gun	makinali tufek
sample	örnek
piton	piton
dramatize	romanın oyunlaştırılmış şekli
Romania	Romanya
battleship	savaş gemisi
WAN	geniş alan ağı
golden oriole	bayağı sarıasma
giant star	dev yıldız
appellate court	temyiz mahkemesi
goddaughter	vaftiz kızı
high-level	yüksek rütbeli
silverback	gümüşsırt
melanoma	melanom
shop	dükkân
goshawk	atmaca
stretch	uzatmak
swift	çabuk
extent	kapsam
humor	mizah
estate	arsa
flicker	titremek oynamak
ladder	merdiven
arrant	büsbütün
integrate	tümlevini almak
Canis Major	Büyük Köpek
warble	şakımak
frankness	doğruluk
erythema	deride kızarma
furniture	mobilya
triangle	üçgen
porous	gözenekli
circlet	taç
rampart	istihkâm
traceable	izlenebilir
sandstorm	kum fırtınası
Hungary	Macaristan
machinist	makinist
isometry	öIçüde eşitlik
redwing	kızıl ardıç kuşu
trundle	tekerlek sesi
gyroscope	jiroskop
bedridden	yatalak
on-site	yerinde
Democritus	Demokritos
Anaxagoras	Anaksagoras
pragmatics	edimbilim
geologic	jeolojik
avidly	hevesle
learning disability	öğrenme güçlüğü
northeast by east	poyraz kerte gündoğusu
Canadian dollar	Kanada doları
snuff	açıkgöz
genus	cins
sapiential	akıllı
stonewall	aksamak
go out	çıkmak
blush	allık
profit	kazanç
appendectomy	apandis ameliyatı
Arabian Peninsula	Arap Yarımadası
tranquil	kuşkusuz
immaculate	lekesiz
texture	doku
olfactory	burun
adventurousness	maceraperestlik
meretricious	cicili bicili
blot out	çıkarmak
funk	dehşet
prophesy	demek
convex	dışbükey
unheard	duyulmayan
tenable	makul
electromagnetic	elektromanyetik
sift	elemek
potency	güç
efficacy	etki
phosphorus	fosfor
aver	iddia etmek
Ishmael	İsmail
cartilage	kıkırdak
chessboard	satranç tahtası
toffee	şekerleme
bauxite	boksit
cross-dresser	travesti
Toyota	Toyota
line of sight	bakış doğrultusu
toxicity	toksisite
agony aunt	güzin abla
conceive	gebe kalmak
cornet	külah
gallop	dörtnal
sorrow	keder
apparent	belirgin
nomination	aday gösterme
awful	berbat
piano accordion	akordeon
usual	olağan
arsehole	anüs
underling	ast
prance	atı zıplatıp oynatmak
lawman	avukat
ovoid	beyzi
limerick	bir
translucent	yarı şeffaf
squeak	cırlamak
mercury	cıva
shepherd	çoban
geography	coğrafya
potter's wheel	çömlekçi çarkı
cow	inek
house mouse	fare
urethra	üretra
swimming trunks	mayo
woodpile	odun istifi
saboteur	sabotajcı
procurement	tedarik
herpes	uçuğa benzer
vicuna	vikunya
avocado	avokado
exponentiation	üst alma
black rhinoceros	siyah gergedan
broadly	yurt dışında
a	öö
sore	aşırı
bloke	oğlan
deceit	hile
