explanation	maelezo
coconut	nazi
ferocious	-kali
sugar cane	muwa
Israeli	wayahudi
covenant	ahadi
blunt	butu
lip	mdomo
adjudicate	kuamua
alleviation	kitulizo
atheism	kufuru
redshank	chamchanga miguu-hina
stainless steel	chuma cha pua kisioganda
Fijian	Mfiji
Costa Rican	Mkostarika
parole	nywila
sterilize	-tasisha
Solomon Islands	Visiwa vya Solomon
allow	-acha
leaf	jani
African hunting dog	mbwa mwitu
advance	-ongoza
mole	fuko
defile	mlango
chef	mpishi
Cape buffalo	nyati
prostitute	kahaba
loo	choo
classroom	darasa
shade	kivuli
orderly	mwuguzi
friendly	bashasha
anarchism	utawala huria
picnic	mandari
Bhutan	Bhutan
skeleton	mifupa
Iraqi	Mwiraki
whole number	namba nzima
West Indies	Uhindi Magharibi
Tunisia	Tunisia
acquit	-acha
people	watu
brink	ukingo
wild boar	jivi
first cousin	kwanza binamu
gloom	weusi
rendezvous	miadi
body temperature	mwako
apology	radhi
submerge	-chovya
birdsong	wimbo
teachable	sikivu
hoopoe	hudihudi
caricature	-iga
Gold Coast	Australia
matchstick	kibiriti
hexagon	pembesita
chemical reaction	mmenyuko
Rhea	Rea
Swiss franc	faranga ya Uswisi
afterlife	jongomeo
river	mto
accomplish	-pa
shepherdess	mchungaji
death penalty	ufanyaji
sample	kiolezo
neckline	shingo
dominion	milki
drilling	upekecho
closed	-embamba
hymn	wimbo
battleship	manowari
self-confidence	uthubutifu
machine gun	bunduki ya mtombo
greeting card	kadi ya salaam
Southeast Asia	Asia ya Kusini-Mashariki
golden oriole	kurumbizi
Bruneian	Mbrunei
Romania	Romania
peaceable	suluhivu
machinist	dereva
shop	duka
estate	mtaa
extent	kadiri
furniture	fanicha
swift	-epesi
Hungary	Hungaria
humor	ucheshi
frankness	ukweli
stretch	-noa
vindictiveness	kinyongo
erythema	harara
sandstorm	kivumbi
ladder	ngazi
triangle	pembetatu
porous	vinyweleo
Canadian dollar	dola ya Kanada
go out	-toka
sift	chekecha
profit	faida
stonewall	kinga
Arabian Peninsula	Bara Arabu
potency	uwezo
convex	mbonyeo
prophesy	kutabiri
efficacy	tendo
immaculate	nakawa
tranquil	tulivu
blot out	ghairi
texture	mfumo
cartilage	ufupa mwororo
snuff	ugolo
phosphorus	posfori
chessboard	sataranji kibao
cor anglais	baragumu ya kiingereza
geography	jiografia
usual	kawaida
house mouse	kipanya
shepherd	mchungaji
avocado	parachichi
sorrow	huzuni
cow	ngʼombe
mercury	zebaki
nomination	uteuzi
procurement	mpato
gallop	-chupia
lawman	wakili
conceive	-tunga mimba
saboteur	mhujumu
apparent	-bainifu
herpes	tego
arsehole	kundu
ovoid	duara dafu
cornet	tarumbeta ndogo
deceit	kitimbi
eating	ulaji
hate	chukia
flamingo	heroe
intent	lengo
broadly	nje
technology	teknolojia
soldier	askari
below	chini
a	katika
sore	kidonda
bloke	mwanamume
eel	mkunga
water bottle	kiriba
smuggle	-penyeza
wholesome	-zuri
popular	-a watu
chaffinch	chiriku
intoxicated	chopi
paper tiger	chui wa karatasi
chickenpox	tetewanga
heller	hela
Principality of Liechtenstein	Liechtenstein
jaggery	sukari nguuru
yellow fever	homa ya manjano
let go	-acha
overturn	-inika
housekeeping	unyumba
specialty	kazi
tube	mrija
olfaction	pua
capital punishment	ufanyaji
alcove	kataa
schoolmaster	chuo fuzu
cigarette	sigara
constancy	mkazo
adventure	shani
compete	-shindana
ineffective	batili
antibody	antibodi
eggshell	kaka la yai
Nablus	Palestina
deafness	ukiziwi
Lilongwe	Lilongwe
preposition	kihusishi
approximately	mnamo
seize	kamata
toss	-tinga
acquisition	mpato
vertex	kipeo
manage	-diriki
spigot	kizibo
rime	kina
culture	utamaduni
penance	ondoleo
putrefy	-oza
export	-pakia
back up	-unga mkono
paradise	ferdausi
inquire	-uliza
mocker	mbishi
emigration	uhamaji
gallon	galoni
hectare	hekta
gout	ugonjwa wa jongo
lungfish	kambaremamba
windmill	kititia
follow suit	-fanya vilevile
Exodus	Kutoka
feel like	jazba vile vile
foe	adui
bike	baisikeli
drug	dawa
moth	nondo
pet	moyo
Moon	Mwezi
ribbonfish	panga
token	cheti
stamina	imara
being	kiumbe
keeper	mngoja
cancel	-batili
assure	-hakikisha
unstable	-badilifu
duplicate	maradufu
standpoint	rai
harmless	haidhuru
North Korean	Mkorea Kaskazini
conjoin	kuoa
gear wheel	gia gurudumu
Ukrainian	Kiukrania
Estonian	Kiestonia
afterbirth	mji
main	njia
screwdriver	bisibisi
intelligent	-kalamka
still	bado
influenza	kamata
base	tako
plowman	mkulima
formal	rasmi
conquer	-shinda
acacia	mgunga
coordinate	-ratibu
clerk	karani
bamboo	mwanzi
seism	tetemeko
gamecock	kuchi
canopy	chandarua
by-election	kwa uchaguzi
auxiliary verb	kitenzi kisaidizi
phonetics	fonetiki
hard-boiled	gumu chemka
inferior	duni
rotate	-zunguka
frown	ndita
corruption	ufisadi
womb	tumbo la uzazi
judge	jaji
wife	mke
sandfly	usubi
fervor	moto
enclosure	kitalu
Frenchwoman	Mfaransa
torso	mwili
ear	sikio
negligence	purukushani
splendid	-zuri
acknowledgement	uungamaji
sheer	-tupu
pockmark	lengelenge
chest of drawers	almari
kneecap	kilegesambwa
molybdenum	molibdeni
strike out	goma nje
oviduct	futuza
bank	benki
poor	maskini
association	chama
nation	taifa
watch	saa
be	kuwa
opportunity	nafasi
aptitude	uhodari
cargo	shehena
mendicant	mwombaji
attest	-hakikisha
curiosity	udadisi
criticism	lawama
insurgent	halifu
aroma	ladha
neutron	nyutroni
widget	wiji
horse racing	mbio za farasi
Russian	Kirusi
defame	-adhiri
slide	-teleza
meat	nyama
partition	kasama
faucet	bilula
persuasion	shonga
worsen	-rembuka
tickle	-tekenya
ethnic	kafiri
keep on	-dumu
baud	baudi
biochemistry	biokemia
lettuce	saladi
magma	magma
underline	pigia mstari
injustice	dhuluma
director	mkurugenzi
area	eneo
aubergine	bilingani
stole	iba
cheek	shavu
alive	hai
reparation	malipo
undertaker	mpambaji
breathe	-pumua
broaden	-panua
critical	mahututi
satisfactory	salama
sinner	mkosaji
unwholesome	-bovu
railwayman	mreli
high school	sekondari
nightgown	usiku gauni
flip-flop	kandambili
Poseidon	Poseidoni
consent	-kubali
poof	basha
product	tunda
hub	kikombe
expire	-shusha pumzi
bloom	ua
comet	nyotamkia
ban	mzio
cotton	pamba
whitewash	chokaa
catalogue	daftari
guesthouse	dhifa
buffoon	majununi
housekeeper	mngojezi
immigrant	mhamiaji
innocent	asiye na hatia
sternpost	bumia
incisor	jino la mbele
horsepower	nguvufarasi
selected	-teuli
cartoon	katuni
quickly	upesi
unload	-pakua
introduce	-weka
hostler	hoteli
pencil	kalamu
squaw	mke
braid	-fuma
boyfriend	mpenzi
anhydrous	-kavu
suppress	-husuru
absurd	muhali
relic	masaa
embankment	fuko
pliable	teke
precious stone	kito
Burma	Bama
goatee	kidevu
inferiority complex	udhalili
Republic of Finland	Ufini
Berlin	Berlin
Newari	Kinewari
coffin	jeneza
Homo sapiens	dunia
thirst	kiu
ghost	mzimu
intelligence	akili
pioneer	mkurugenzi
fatness	unene
soothe	-bembeleza
reed	tete
enticing	shawishi
growl	nguruma
allowance	posho
advisedly	hiari
squirrel	kindi
sawdust	vibanzi vya msumeno
Timbuktu	Timbuktu
Kampala	Kampala
Hollywood	Hollywood
Mongol	kimongolia
sufficiency	kefu
smart	hodari
roll over	kupinduka
stanchion	mti
salat	swala
answer	jibu
energetically	kasi
well-to-do	tajiri
assumption	udhani
terrify	-ogofisha
propagandist	mwanapropaganda
storey	sakafu
rhombus	almasi
pustule	kipele
droplet	tone
Atlas Mountains	Aljeria
Holy Spirit	Roho Mtakatifu
Austria-Hungary	Austria-Hungaria
yogurt	maziwa ya mgando
consequence	tokeo
audio	mlio
abdicate	-jiuzulu
skim	engua
pregnant	-zito
assembly	mkusanyo
disfigure	-athiri
lengthen	-refusha
option	hiari
smear	-rasha
well-defined	kichele
waistcoat	kizibao
drawer	kidawati
musical instrument	kinanda
meanwhile	huko nyuma
expatriate	mhamiaji
fill in	-dudia
brown hyena	fisi kahawia
Bahraini	Mbahareni
digger	mchimbaji
typhoid fever	taifod
Madrid	Madrid
con	-punja
wickedness	ubaya
leadership	uongozi
softy	mjinga
abroad	ugenini
